marca,produto,peso_g,preco_brl,preco_por_kg_brl,pontuacao_sca,variedade,processo,origem,tipo,embalagem,certificacoes_diferenciais,posicionamento,referencia
Zerbinatti Coffee,Classico Moido,250,49.90,199.60,84.75,Arara,Natural,Valim Farms (Brasil),Moido,Pacote artesanal,Organico Certificado / Cup of Excellence / 100% Arabica,Heritage italiana 1897 - small batch - lotes limitados,https://zerbinatti.coffee/
Zerbinatti Coffee,Classico Em Graos,500,79.90,159.80,84.75,Arara,Natural,Valim Farms (Brasil),Graos,Pacote artesanal,Organico Certificado / Cup of Excellence / 100% Arabica,Heritage italiana 1897 - small batch - lotes limitados,https://zerbinatti.coffee/
Cafe Especial Brasil,Microlote Frutado Catuai Vermelho,250,72.00,288.00,88.00,Catuai Vermelho,Fermentado,Campo das Vertentes (MG),Graos,Pacote valvula,Rainforest Alliance / Microlote,Microlote premiado - notas frutas vermelhas/cacau,https://cafeespecialbrasil.net.br/
Cafe Especial Brasil,Microlote Chocolatudo Arara,250,69.00,276.00,88.00,Arara,Natural Manual,Sul de Minas,Graos,Pacote valvula,Microlote / Selecao manual,Microlote - chocolate/caramelo/frutas amarelas,https://cafeespecialbrasil.net.br/
Cafe Especial Brasil,Microlote Frutas Roxas Paraiso,250,79.00,316.00,88.50,Paraiso,Fermentado,Cerrado Mineiro,Graos,Pacote valvula,Microlote / Fermentacao controlada,Frutas roxas / rapadura - perfil exotico,https://cafeespecialbrasil.net.br/
IAO Organicos,Cafe Organico Premium Microlote,250,65.00,260.00,86.00,Arara,Natural,Brasil (microlote),Graos,Pacote valvula,Organico Certificado / Microlote,Organico premium - rapadura / limao siciliano,https://iao.com.br/
Casa Branca Organica,Microlote Premiado 85 pontos,250,58.00,232.00,85.00,Arabica blend,Natural,Brasil,Graos,Pacote valvula,Organico Certificado / Microlote Premiado,Organico - microlote premiado entrada,https://www.casabrancaorganica.com.br/
Coopfam,Cafe Microlote Comercio Justo,250,55.00,220.00,85.00,Arabica blend,Natural,Sul de Minas (cooperativa),Graos,Pacote valvula,Organico / Fair Trade / Cooperativa familiar,Agricultura familiar - comercio justo - organico,https://loja.coopfam.com.br/
Daterra,Collections Masterpiece (linha),250,180.00,720.00,88.50,Sundrop / Bruzzi,Natural especial,Cerrado Mineiro,Graos,Lata premium,Rainforest / B Corp / Masterpiece,Top mundial - leiloes recorde - colecionavel,https://daterracoffee.com.br/
Daterra,Collections Standard,250,75.00,300.00,86.50,Catuai/Arara,Natural,Cerrado Mineiro,Graos,Pacote valvula,Rainforest / B Corp,Especialidade rastreavel - linha de entrada,https://daterracoffee.com.br/
Orfeu,Microlote Vencedor Geisha+Arara Garrafa,250,165.00,660.00,89.00,Geisha + Arara,Natural,Sao Sebastiao do Paraiso (MG),Graos,Garrafa colecionavel,Microlote vencedor / Edicao limitada,Colecionavel - Geisha brasileira - premium,https://www.cafeorfeu.com.br/
Orfeu,Especial Bourbon Amarelo,250,52.00,208.00,84.00,Bourbon Amarelo,Natural,Sao Sebastiao do Paraiso (MG),Graos,Pacote valvula,Especialidade / Rastreavel,Linha especial acessivel,https://www.cafeorfeu.com.br/
Orfeu,Organico Em Graos,250,58.00,232.00,84.00,Arabica blend,Natural,Sao Sebastiao do Paraiso (MG),Graos,Pacote valvula,Organico Certificado / Especialidade,Organico fazenda propria,https://www.cafeorfeu.com.br/
Fazenda Ambiental Fortaleza (FAF),Arara Natural Organico,250,68.00,272.00,86.00,Arara,Natural,Mococa (SP),Graos,Pacote valvula,Organico / Agricultura regenerativa,Pioneira organica sustentavel desde 2002,https://www.fafbrazil.com/
Fazenda Ambiental Fortaleza (FAF),Catuai Vermelho Especial,250,60.00,240.00,85.00,Catuai Vermelho,Natural,Mococa (SP),Graos,Pacote valvula,Organico / Direct trade,Caramelo / doce de leite / sustentavel,https://www.fafbrazil.com/
Octavio Cafe,Especial Classic,250,46.00,184.00,84.00,Arabica blend,Natural,Alta Mogiana (SP),Graos,Pacote valvula,Especialidade rastreavel,Fazenda propria - perfil cremoso classico,https://octaviocafe.com.br/
Octavio Cafe,Reserva Especial,250,58.00,232.00,85.50,Yellow Bourbon,Natural,Alta Mogiana (SP),Graos,Pacote valvula,Especialidade,Reserva limitada - chocolate/nozes,https://octaviocafe.com.br/
Suplicy,Especial Torra Media,250,55.00,220.00,84.50,Mundo Novo/Catuai/Icatu,Natural,Sul de Minas,Graos,Pacote valvula,Especialidade,Tradicional paulistana - blend especial,https://www.suplicycafes.com.br/
Suplicy,Organico Icatu Precoce,250,62.00,248.00,85.00,Icatu Precoce,Natural,Sul de Minas,Moido,Pacote valvula,Organico Certificado,Floral / citrico / mel - organico,https://www.suplicycafes.com.br/
Brasitalia,Microlote Premium Geisha Lata,250,189.00,756.00,89.00,Geisha,Lavado,Sul de Minas,Graos,Lata premium,Microlote / Lata colecionavel,Geisha brasileira em lata - presenteavel,https://www.brasitaliacafe.com.br/
3 Coracoes,Coracao Nobre Microlote,250,54.00,216.00,84.00,Arabica blend,Natural,Brasil,Graos,Pacote valvula,Especialidade,Linha premium do maior torrefador - varejo amplo,https://lojaonline.3coracoes.com.br/
