marca,produto,peso_g,preco_brl,preco_por_kg_brl,pontuacao_sca,variedade,processo,origem,tipo,embalagem,certificacoes_diferenciais,posicionamento,referencia
Zerbinatti Coffee,Classico Moido,250,49.90,199.60,84.75,Arara,Natural,Valim Farms (Brasil),Moido,Pacote artesanal,Organico Certificado / Cup of Excellence / 100% Arabica,Heritage italiana 1897 - small batch - lotes limitados,https://zerbinatti.coffee/
Zerbinatti Coffee,Classico Em Graos,500,79.90,159.80,84.75,Arara,Natural,Valim Farms (Brasil),Graos,Pacote artesanal,Organico Certificado / Cup of Excellence / 100% Arabica,Heritage italiana 1897 - small batch - lotes limitados,https://zerbinatti.coffee/
Tim Wendelboe (NOR),Finca el Puente Geisha,250,225.00,900.00,90.00,Geisha,Lavado,Honduras,Graos,Pacote premium fosco,Direct Trade / Q Grader Wendelboe / Importado,Referencia mundial - barista campeao - Oslo,https://entropicacoffee.com/products/tim-wendleboe-karogoto-250g-copy
La Cabra Coffee (DNK),Yacuri Geisha Juan Pena,250,165.00,660.00,89.00,Geisha,Lavado,Equador,Graos,Pacote minimalista,Direct Trade / Importado / Roastery Aarhus,Boutique escandinava - florais delicados,https://us.lacabra.com/
La Cabra Coffee (DNK),Rituals Subscription Light Roast,250,140.00,560.00,87.00,Variavel,Variavel,Multi-origem,Graos,Pacote minimalista,Assinatura premium / Importado,Curadoria torra clara - escola nordica,https://us.lacabra.com/products/rituals-subscription
Onyx Coffee Lab (USA),Geometry Blend,250,135.00,540.00,87.00,Blend microlotes,Variavel,Multi-origem,Graos,Pacote sofisticado,Direct Trade / Premiada / Importado,Innovacao processo - perfil moderno,https://www.amazon.com/onyx-coffee/s?k=onyx+coffee
Stumptown (USA),Hair Bender Blend,340,95.00,279.00,85.00,Blend,Natural/Lavado,Multi-origem,Graos,Saco kraft com selo,Pioneira specialty / Direct Trade,Classico pacifico - referencia 1999,https://www.reviewed.com/cooking/best-right-now/the-best-coffee-subscriptions
Blue Bottle (USA/JPN),Three Africas,250,110.00,440.00,86.00,Blend africano,Lavado,Africa,Graos,Saco azul iconico,B Corp / Estetica premium,Lifestyle premium - design minimalista,https://www.everydaypeoplecoffeeandtea.com/blogs/news/best-coffee-subscriptions-2025-complete-comparison-guide
Counter Culture (USA),Hologram Blend,340,98.00,288.00,86.00,Blend,Variavel,Multi-origem,Graos,Saco com transparencia,Direct Trade / Programa sustentabilidade,Educacao barista / hub treinamento,https://www.reviewed.com/cooking/best-right-now/the-best-coffee-subscriptions
Square Mile Coffee (GBR),Red Brick Espresso,250,135.00,540.00,87.00,Blend espresso,Natural/Lavado,Multi-origem,Graos,Pacote vermelho iconico,Direct Trade / Importado / James Hoffmann legado,Boutique londrina - espresso premiado,https://entropicacoffee.com/
Has Bean (GBR),Single Estate Pacamara,250,125.00,500.00,87.50,Pacamara,Natural,America Central,Graos,Pacote valvula,Direct Trade / Microlote / Importado,Importadora boutique - In My Mug podcast,https://entropicacoffee.com/
Cafe Apui,Agroflorestal Organico Moido,250,40.89,163.56,85.00,Arabica,Natural agroflorestal,Apui (Amazonas),Moido,Pacote ecologico,Organico Certificado / Agroflorestal / Agricultura familiar amazonica,Cafe da Amazonia - sistema agroflorestal - regenerativo,https://www.loja.cafeapui.com.br/
Cafe Apui,Agroflorestal Em Graos,500,79.00,158.00,85.00,Arabica,Natural agroflorestal,Apui (Amazonas),Graos,Pacote ecologico,Organico / Agroflorestal Amazonia,Cafe da Amazonia - sustentavel,https://www.loja.maniocabrasil.com/MLB-1725263176-cafe-apui-agroflorestal-100-orgnico-250g-manioca-_JM
Seriema (Caatinga),Agroflorestal Especial 100% Arabica,250,52.00,208.00,85.00,Arabica,Natural agroflorestal,Caatinga,Graos,Pacote ecologico,Agroflorestal / Caatinga / Especial,Unico cafe da Caatinga - agroflorestal,https://armazemdacaatinga.com.br/produtos/cafe-agroflorestal-especial-100-arabica-250g-seriema/
Cafe do Mercado,Montanhas Espirito Santo Organico,250,55.00,220.00,86.00,Arabica,Natural,Montanhas (ES),Moido,Pacote valvula,Organico Certificado / Biodinamico,Capixaba - montanha - biodinamico,https://www.cafeoteca.com.br/produto/cafe-do-mercado-montanhas-do-espirito-santo-especial-organico-moido-250g-1-caixa-com-6un-116
Cafe do Mercado,Cerrado Mineiro Especial,250,49.00,196.00,85.00,Arabica,Natural,Cerrado Mineiro,Moido,Pacote valvula,Especialidade / DOC Cerrado,Indicacao Geografica Cerrado - rastreavel,https://www.cafeoteca.com.br/produto/cafe-do-mercado-cerrado-mineiro-especial-moido-250g-1-caixa-com-6-unidades-107
Cafesul,Cooperativa Sul ES Especial,500,72.00,144.00,85.00,Conilon/Arabica,Natural,Sul Espirito Santo,Graos,Pacote valvula,Cooperativa / Especialidade,8 municipios capixabas - cooperativa fundada 1998,https://www.cafesul.coop.br/
Terrafe,Cafe Capixaba Selecao,250,48.00,192.00,85.00,Arabica,Natural,Espirito Santo,Graos,Pacote valvula,Cooperativa de 100+ produtores,Marketplace capixaba - 100+ produtores locais,https://loja.terrafe.com.br/vitrine
